;ticket_title;labels;priority;points;ticket_id;list_id;owner;list_name;team
158;MW Video Launch - Add FWL to automated mapping;[{u'color': None, u'id': u'5bcd18136dcbbe2bd120a929', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'MW_Video'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4f271d4735435eb180;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
159;V1 Media Type - AXB add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4eb82d9a0c26478313;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
160;V1 Media Type - TPL add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4ebbdc0219d646cbc9;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
161;MW Video Launch - Add FWL to Program;[{u'color': None, u'id': u'5bcd18136dcbbe2bd120a929', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'MW_Video'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c503629bc0eda6aa645;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
162;Prerequisites - Create 10.5 params;[{u'color': None, u'id': u'5bcd187103453c5308ca3c8b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Database'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4f8fc1ba0ed4ffa692;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
163;Prerequisites - Confirm PG version;[{u'color': None, u'id': u'5bcd187103453c5308ca3c8b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Database'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4f22ea4447803c00d4;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
164;Daily collect setting adaptation - GDX Scraper - config element convert_to_usd;[{u'color': None, u'id': u'5bcd18365b418c7815e2cb94', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Currency'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4cba10400b07ee168c;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
165;Daily collect setting adaptation - TDS - config element convert_to_usd;[{u'color': None, u'id': u'5bcd18365b418c7815e2cb94', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Currency'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4de5ee482cb51bc833;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
166;Daily collect setting adaptation - SPX - config element convert_to_usd;[{u'color': None, u'id': u'5bcd18365b418c7815e2cb94', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Currency'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4d577ef92b0d62a3d1;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
167;Daily collect setting adaptation - Criteo - config element convert_to_usd;[{u'color': None, u'id': u'5bcd18365b418c7815e2cb94', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Currency'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4d387f6964a22123ed;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
